<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
240118;000000;42.690.2000000;42.690.3000000;42.592.8000000;42.650.0000000;4
240118;001500;42.650.0000000;42.785.2000000;42.649.9000000;42.689.3000000;12
240118;003000;42.689.3000000;42.705.4000000;42.665.5000000;42.705.4000000;4
240118;004500;42.705.3000000;42.712.0000000;42.628.8000000;42.641.1000000;15
240118;010000;42.642.8000000;42.693.7000000;42.642.8000000;42.661.6000000;6
240118;011500;42.661.6000000;42.687.0000000;42.439.4000000;42.531.2000000;36
240118;013000;42.534.4000000;42.582.3000000;42.490.9000000;42.578.8000000;10
240118;014500;42.581.0000000;42.668.5000000;42.581.0000000;42.654.6000000;14
240118;020000;42.654.6000000;42.694.8000000;42.599.1000000;42.685.0000000;6
240118;021500;42.694.6000000;42.694.7000000;42.622.0000000;42.670.0000000;2
240118;023000;42.670.3000000;42.694.7000000;42.670.3000000;42.688.0000000;5
240118;024500;42.688.0000000;42.747.9000000;42.688.0000000;42.747.8000000;11
240118;030000;42.746.1000000;42.751.2000000;42.656.3000000;42.669.9000000;7
240118;031500;42.670.0000000;42.674.0000000;42.614.7000000;42.624.9000000;10
240118;033000;42.624.9000000;42.657.0000000;42.609.9000000;42.638.0000000;6
240118;034500;42.637.9000000;42.638.0000000;42.637.9000000;42.638.0000000;8
240118;040000;42.638.0000000;42.666.8000000;42.580.9000000;42.582.9000000;55
240118;041500;42.582.9000000;42.636.4000000;42.551.6000000;42.628.9000000;4
240118;043000;42.629.0000000;42.635.3000000;42.495.5000000;42.495.5000000;9
240118;044500;42.495.5000000;42.556.3000000;42.495.5000000;42.556.3000000;2
240118;050000;42.556.4000000;42.603.9000000;42.556.3000000;42.603.0000000;5
240118;051500;42.602.9000000;42.684.6000000;42.600.3000000;42.662.3000000;10
240118;053000;42.665.9000000;42.665.9000000;42.643.6000000;42.661.0000000;4
240118;054500;42.661.0000000;42.681.8000000;42.608.3000000;42.626.4000000;2
240118;060000;42.626.4000000;42.644.2000000;42.593.0000000;42.593.3000000;8
240118;061500;42.593.4000000;42.630.2000000;42.576.5000000;42.583.1000000;11
240118;063000;42.583.1000000;42.583.1000000;42.523.5000000;42.553.2000000;3
240118;064500;42.553.1000000;42.553.1000000;42.535.1000000;42.550.7000000;2
240118;070000;42.550.7000000;42.610.1000000;42.550.7000000;42.594.6000000;3
240118;071500;42.594.6000000;42.603.8000000;42.585.8000000;42.585.8000000;4
240118;073000;42.585.8000000;42.626.6000000;42.585.8000000;42.626.5000000;2
240118;074500;42.626.6000000;42.636.5000000;42.618.0000000;42.628.2000000;1
240118;080000;42.631.3000000;42.631.3000000;42.600.0000000;42.628.1000000;2
240118;081500;42.628.1000000;42.689.0000000;42.628.1000000;42.689.0000000;2
240118;083000;42.689.0000000;42.730.3000000;42.639.0000000;42.730.2000000;22
240118;084500;42.730.2000000;42.730.2000000;42.674.7000000;42.728.3000000;1
240118;090000;42.728.2000000;42.811.6000000;42.728.2000000;42.811.6000000;16
240118;091500;42.811.6000000;42.811.6000000;42.753.4000000;42.758.3000000;10
240118;093000;42.758.3000000;42.773.8000000;42.723.2000000;42.773.8000000;5
240118;094500;42.773.8000000;42.781.8000000;42.737.5000000;42.754.2000000;11
240118;100000;42.759.8000000;42.842.2000000;42.759.8000000;42.842.2000000;12
240118;101500;42.842.2000000;42.859.1000000;42.817.9000000;42.833.8000000;19
240118;103000;42.833.7000000;42.877.0000000;42.814.0000000;42.854.9000000;19
240118;104500;42.846.4000000;42.862.5000000;42.846.3000000;42.862.2000000;2
240118;110000;42.862.4000000;42.871.1000000;42.814.8000000;42.823.4000000;2
240118;111500;42.823.4000000;42.825.6000000;42.801.5000000;42.816.8000000;15
240118;113000;42.816.8000000;42.816.8000000;42.780.8000000;42.780.9000000;2
240118;114500;42.780.9000000;42.780.9000000;42.711.2000000;42.711.3000000;8
240118;120000;42.711.3000000;42.762.2000000;42.711.2000000;42.762.1000000;9
240118;121500;42.762.0000000;42.769.0000000;42.700.0000000;42.769.0000000;4
240118;123000;42.767.3000000;42.826.3000000;42.750.0000000;42.759.4000000;3
240118;124500;42.762.9000000;42.762.9000000;42.700.0000000;42.700.0000000;3
240118;130000;42.700.1000000;42.700.1000000;42.667.1000000;42.672.0000000;13
240118;131500;42.671.9000000;42.715.0000000;42.661.0000000;42.661.0000000;3
240118;133000;42.661.1000000;42.661.1000000;42.530.0000000;42.530.0000000;24
240118;134500;42.530.4000000;42.545.7000000;42.379.4000000;42.406.3000000;55
240118;140000;42.406.3000000;42.466.2000000;42.397.8000000;42.452.9000000;9
240118;141500;42.448.1000000;42.494.3000000;42.402.0000000;42.408.3000000;8
240118;143000;42.423.9000000;42.473.7000000;42.379.4000000;42.468.0000000;4
240118;144500;42.467.9000000;42.509.8000000;42.448.1000000;42.509.8000000;21
240118;150000;42.510.3000000;42.510.3000000;42.425.0000000;42.425.1000000;11
240118;151500;42.425.0000000;42.425.1000000;42.334.1000000;42.415.0000000;18
240118;153000;42.415.0000000;42.423.3000000;42.369.9000000;42.414.2000000;8
240118;154500;42.414.3000000;42.421.5000000;42.369.9000000;42.378.3000000;4
240118;160000;42.378.3000000;42.398.7000000;42.349.7000000;42.350.0000000;8
240118;161500;42.350.1000000;42.389.5000000;42.347.2000000;42.379.6000000;5
240118;163000;42.379.5000000;42.500.0000000;42.347.3000000;42.500.0000000;15
